_id,strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strInstructions,strIngList
62,Alexander,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Cocktail glass,Gin,Creme De Cacao,Light Cream,Nutmeg,,,,,,,,,1/2 oz,1/2 oz white,2 oz,,,,,,,,,,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,"[""Gin"", ""Creme De Cacao"", ""Light Cream"", ""Nutmeg""]"
63,Alfie Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Cocktail glass,Lemon Vodka,Triple Sec,Pineapple Juice,,,,,,,,,,1 1/2 oz,1 dash,1 tblsp,,,,,,,,,,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Lemon Vodka"", ""Triple Sec"", ""Pineapple Juice""]"
64,Algonquin,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Cocktail glass,Blended Whiskey,Dry Vermouth,Pineapple Juice,,,,,,,,,,1 1/2 oz,1 oz,1 oz,,,,,,,,,,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.","[""Blended Whiskey"", ""Dry Vermouth"", ""Pineapple Juice""]"
65,Alice Cocktail,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,Cocktail glass,Grenadine,Orange Juice,Pineapple Juice,Cream,,,,,,,,,1 cl,1 cl,2 cl,4 cl,,,,,,,,,"Shake well, strain into a large cocktail glass.","[""Grenadine"", ""Orange Juice"", ""Pineapple Juice"", ""Cream""]"
66,Alice in Wonderland,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,Collins Glass,Amaretto,Grand Marnier,Southern Comfort,,,,,,,,,,1 shot,1 shot,1 shot,,,,,,,,,,Just mix the three ingredients one to one to one,"[""Amaretto"", ""Grand Marnier"", ""Southern Comfort""]"
67,Allegheny,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Cocktail glass,Dry Vermouth,Bourbon,Blackberry Brandy,Lemon Juice,Lemon Peel,,,,,,,,1 oz,1 oz,1 1/2 tsp,1 1/2 tsp,1 twist of,,,,,,,,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,"[""Dry Vermouth"", ""Bourbon"", ""Blackberry Brandy"", ""Lemon Juice"", ""Lemon Peel""]"
68,Allies Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,Cocktail glass,Dry Vermouth,Gin,Kummel,,,,,,,,,,1 oz,1 oz,1/2 tsp,,,,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.","[""Dry Vermouth"", ""Gin"", ""Kummel""]"
69,Almeria,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Cocktail glass,Dark Rum,Kahlua,Egg White,,,,,,,,,,2 oz,1 oz,1,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","[""Dark Rum"", ""Kahlua"", ""Egg White""]"
70,Almond Chocolate Coffee,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,Coffee mug,Amaretto,Dark Creme De Cacao,Coffee,,,,,,,,,,3/4 oz,1/2 oz,8 oz,,,,,,,,,,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,"[""Amaretto"", ""Dark Creme De Cacao"", ""Coffee""]"
71,Almond Joy,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,Cocktail glass,Amaretto,Creme De Cacao,Light Cream,,,,,,,,,,1/2 oz,1/2 oz white,2 oz,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Amaretto"", ""Creme De Cacao"", ""Light Cream""]"
72,Aloha Fruit punch,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,Collins Glass,Water,Ginger,Guava Juice,Lemon Juice,Pineapple,Sugar,Pineapple Juice,,,,,,3/4 cup,2 tsp,2 cups,1 1/2 tblsp,1 1/2 cup,1 cup,3-4 cups,,,,,,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly.","[""Water"", ""Ginger"", ""Guava Juice"", ""Lemon Juice"", ""Pineapple"", ""Sugar"", ""Pineapple Juice""]"
73,Amaretto And Cream,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,Cocktail glass,Amaretto,Light Cream,,,,,,,,,,,1 1/2 oz,1 1/2 oz,,,,,,,,,,,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.","[""Amaretto"", ""Light Cream""]"
74,Amaretto Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,Collins Glass,Sugar,Water,Apricot,Almond Flavoring,Grain Alcohol,Water,Brandy,Food Coloring,Food Coloring,Food Coloring,Glycerine,,1 cup,3/4 cup,2,1 tblsp,1/2 cup pure,1/2 cup,1 cup,3 drops yellow,6 drops red,2 drops blue,1/2 tsp,,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging.","[""Sugar"", ""Water"", ""Apricot"", ""Almond Flavoring"", ""Grain Alcohol"", ""Water"", ""Brandy"", ""Food Coloring"", ""Food Coloring"", ""Food Coloring"", ""Glycerine""]"
75,Amaretto Mist,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,Old-fashioned glass,Amaretto,Lime,,,,,,,,,,,1 1/2 oz,1,,,,,,,,,,,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)","[""Amaretto"", ""Lime""]"
76,Amaretto Rose,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,Collins glass,Amaretto,Lime Juice,Club Soda,,,,,,,,,,1 1/2 oz,1/2 oz,,,,,,,,,,,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,"[""Amaretto"", ""Lime Juice"", ""Club Soda""]"
77,Amaretto Shake,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,Collins Glass,Chocolate Ice-Cream,Brandy,Amaretto,,,,,,,,,,2 scoops,2 oz,2 oz,,,,,,,,,,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,"[""Chocolate Ice-Cream"", ""Brandy"", ""Amaretto""]"
78,Amaretto Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,Collins Glass,Amaretto,Sour Mix,,,,,,,,,,,1 1/2 oz,3 oz,,,,,,,,,,,Shake and strain. Garnish with a cherry and an orange slice.,"[""Amaretto"", ""Sour Mix""]"
79,Amaretto Stinger,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,Cocktail glass,Amaretto,White Creme De Menthe,,,,,,,,,,,1 1/2 oz,3/4 oz,,,,,,,,,,,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.","[""Amaretto"", ""White Creme De Menthe""]"
80,Amaretto Stone Sour,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg,Collins Glass,Amaretto,Sour Mix,Orange Juice,,,,,,,,,,1 part,1 part,1 part,,,,,,,,,,Shake and Serve over ice,"[""Amaretto"", ""Sour Mix"", ""Orange Juice""]"
81,Amaretto Stone Sour #3,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg,Highball glass,Sour Mix,Amaretto,Tequila,Orange Juice,,,,,,,,,2 oz,2 oz,2 oz,Add splash,,,,,,,,,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry.","[""Sour Mix"", ""Amaretto"", ""Tequila"", ""Orange Juice""]"
82,Amaretto Sunrise,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,Collins Glass,Amaretto,Orange Juice,Grenadine,,,,,,,,,,1 cl,4 oz,1/4 cl,,,,,,,,,,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.,"[""Amaretto"", ""Orange Juice"", ""Grenadine""]"
83,Amaretto Sunset,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,Collins Glass,Triple Sec,Amaretto,Cider,Ice,,,,,,,,,1/2 jigger,3 shots,1/2 cup,Add 1/2 cup,,,,,,,,,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange.","[""Triple Sec"", ""Amaretto"", ""Cider"", ""Ice""]"
84,Amaretto Sweet & Sour,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg,Margarita/Coupette glass,Amaretto,Sweet And Sour,Midori Melon Liqueur,Pineapple Juice,,,,,,,,,,,,,,,,,,,,,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner.","[""Amaretto"", ""Sweet And Sour"", ""Midori Melon Liqueur"", ""Pineapple Juice""]"
85,Amaretto Tea,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,Pousse cafe glass,Tea,Amaretto,Whipped Cream,,,,,,,,,,6 oz hot,2 oz,Chilled,,,,,,,,,,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.","[""Tea"", ""Amaretto"", ""Whipped Cream""]"
86,Americano,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg,Collins glass,Campari,Sweet Vermouth,Lemon Peel,Orange Peel,,,,,,,,,1 oz,1 oz red,Twist of,Twist of,,,,,,,,,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.","[""Campari"", ""Sweet Vermouth"", ""Lemon Peel"", ""Orange Peel""]"
87,Angel Face,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg,Cocktail glass,Apricot Brandy,Apple Brandy,Gin,,,,,,,,,,1/2 oz,1/2 oz,1 oz,,,,,,,,,,Shake all ingredients with ice and strain contents into a cocktail glass.,"[""Apricot Brandy"", ""Apple Brandy"", ""Gin""]"
88,Angelica Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg,Collins Glass,Angelica Root,Almond,Allspice,Cinnamon,Anise,Coriander,Marjoram Leaves,Vodka,Sugar,Water,Food Coloring,Food Coloring,3 tblsp chopped,1 tblsp chopped,1 cracked,1 one-inch,3-6 crushed,1/8 tsp powdered,1 tblsp fresh chopped,1.5 cup,1/2 cup granulated,1/4 cup,1 drop yellow,1 drop green,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month.","[""Angelica Root"", ""Almond"", ""Allspice"", ""Cinnamon"", ""Anise"", ""Coriander"", ""Marjoram Leaves"", ""Vodka"", ""Sugar"", ""Water"", ""Food Coloring"", ""Food Coloring""]"
89,Apello,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Collins Glass,Orange Juice,Grapefruit Juice,Apple Juice,Maraschino Cherry,,,,,,,,,4 cl,3 cl,1 cl,1,,,,,,,,,Stirr. Grnish with maraschino cherry.,"[""Orange Juice"", ""Grapefruit Juice"", ""Apple Juice"", ""Maraschino Cherry""]"
90,Apple Berry Smoothie,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg,Highball Glass,Berries,Apple,,,,,,,,,,,1 cup,2,,,,,,,,,,,Throw everything into a blender and liquify.,"[""Berries"", ""Apple""]"
91,Apple Cider Punch #1,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg,Collins Glass,Apple Cider,Brown Sugar,Lemonade,Orange Juice,Cloves,Allspice,Nutmeg,Cinnamon,,,,,4 qt,1 cup,6 oz frozen,6 oz frozen,6 whole,6 whole,1 tsp ground,3 sticks,,,,,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice.","[""Apple Cider"", ""Brown Sugar"", ""Lemonade"", ""Orange Juice"", ""Cloves"", ""Allspice"", ""Nutmeg"", ""Cinnamon""]"
92,Apple Grande,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg,Punch Bowl,Tequila,Apple Cider,,,,,,,,,,,3 oz,12 oz,,,,,,,,,,,Chill both ingredients!! Mix in a tumbler and enjoy!,"[""Tequila"", ""Apple Cider""]"
93,Apple Karate,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg,Highball Glass,Apple Juice,Carrot,,,,,,,,,,,2 cups,1 large,,,,,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","[""Apple Juice"", ""Carrot""]"
94,Apple Pie with A Crust,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg,Collins Glass,Apple Juice,Malibu Rum,Cinnamon,,,,,,,,,,3 parts,1 part,3 dashes,,,,,,,,,,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.,"[""Apple Juice"", ""Malibu Rum"", ""Cinnamon""]"
95,Apple Slammer,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg,Shot glass,7-Up,Apple Schnapps,,,,,,,,,,,1 part,1 part,,,,,,,,,,,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly.","[""7-Up"", ""Apple Schnapps""]"
96,Applecar,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Cocktail glass,Applejack,Triple Sec,Lemon Juice,,,,,,,,,,1 oz,1 oz,1 oz,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Applejack"", ""Triple Sec"", ""Lemon Juice""]"
97,Applejack,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,Cocktail glass,Jack Daniels,Midori Melon Liqueur,Sour Mix,,,,,,,,,,1 oz,1/2 oz,2 oz,,,,,,,,,,"Add all ingredients into mixing glass, chill and strain into cocktail glass","[""Jack Daniels"", ""Midori Melon Liqueur"", ""Sour Mix""]"
98,Apricot Lady,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg,Old-fashioned glass,Light Rum,Apricot Brandy,Triple Sec,Lemon Juice,Egg White,Orange,,,,,,,1 1/2 oz,1 oz,1 tsp,1/2 oz,1,1,,,,,,,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.","[""Light Rum"", ""Apricot Brandy"", ""Triple Sec"", ""Lemon Juice"", ""Egg White"", ""Orange""]"
99,Apricot punch,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg,Punch bowl,Apricot Brandy,Champagne,Vodka,7-Up,Orange Juice,,,,,,,,1 qt,4 fifth,1 fifth,4 L,1/2 gal,,,,,,,,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.,"[""Apricot Brandy"", ""Champagne"", ""Vodka"", ""7-Up"", ""Orange Juice""]"
100,Archbishop,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xpqwrt1441207307.jpg,Old-fashioned glass,Gin,Wine,Benedictine,Lime,,,,,,,,,2 oz,1 oz Green Ginger,1 tsp,1,,,,,,,,,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.","[""Gin"", ""Wine"", ""Benedictine"", ""Lime""]"
101,Arctic Fish,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/ttsvwy1472668781.jpg,Beer pilsner,Vodka,Grape Soda,Orange Juice,Ice,Candy,,,,,,,,1/3 part,1/3 part,1/3 part,lots,1 dash,,,,,,,,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled.","[""Vodka"", ""Grape Soda"", ""Orange Juice"", ""Ice"", ""Candy""]"
102,Arctic Mouthwash,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wqstwv1478963735.jpg,Cocktail glass,Maui,Mountain Dew,Ice,,,,,,,,,,5 oz blue,5 oz,cubes,,,,,,,,,,Blend all ingredients in a blender on high until ice is finely crushed. It should be of a slushy consistency. Pour immediately and serve.,"[""Maui"", ""Mountain Dew"", ""Ice""]"
103,Arise My Love,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg,Champagne flute,Champagne,Green Creme De Menthe,,,,,,,,,,,Chilled,1 tsp,,,,,,,,,,,Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.,"[""Champagne"", ""Green Creme De Menthe""]"
104,Arizona Antifreeze,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/dbtylp1493067262.jpg,Shot glass,Vodka,Midori Melon Liqueur,Sweet And Sour,,,,,,,,,,1/3 oz,1/3 oz,1/3 oz,,,,,,,,,,Pour all ingredients into shot glass and slam !!!!,"[""Vodka"", ""Midori Melon Liqueur"", ""Sweet And Sour""]"
105,Arizona Stingers,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg,Hurricane glass,Absolut Vodka,Iced Tea,,,,,,,,,,,2 shots,12 oz lemon,,,,,,,,,,,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,"[""Absolut Vodka"", ""Iced Tea""]"
106,Arizona Twister,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ido1j01493068134.jpg,Hurricane glass,Vodka,Malibu Rum,Gold Tequila,Orange Juice,Pineapple Juice,Cream Of Coconut,Grenadine,Ice,Pineapple,,,,1 shot,1 shot,1 shot,1 splash,1 splash,1 splash,1 dash,crushed,1 wedge,,,,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.","[""Vodka"", ""Malibu Rum"", ""Gold Tequila"", ""Orange Juice"", ""Pineapple Juice"", ""Cream Of Coconut"", ""Grenadine"", ""Ice"", ""Pineapple""]"
107,Army special,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg,Cocktail glass,Vodka,Gin,Lime Juice Cordial,Ice,,,,,,,,,30 ml,30 ml,45 ml,1/2 glass crushed,,,,,,,,,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.","[""Vodka"", ""Gin"", ""Lime Juice Cordial"", ""Ice""]"
108,Arthur Tompkins,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7onfhz1493067921.jpg,Whiskey sour glass,Gin,Grand Marnier,Lemon Juice,Lemon Peel,,,,,,,,,2 oz,1/2 oz,2 tsp,1 twist of,,,,,,,,,"In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist.","[""Gin"", ""Grand Marnier"", ""Lemon Juice"", ""Lemon Peel""]"
109,Artillery,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,Cocktail glass,Sweet Vermouth,Gin,Bitters,,,,,,,,,,1 1/2 tsp,1 1/2 oz,2 dashes,,,,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","[""Sweet Vermouth"", ""Gin"", ""Bitters""]"
110,Artillery Punch,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/9a4vqb1493067692.jpg,Punch bowl,Tea,Rye Whiskey,Red Wine,Rum,Brandy,Benedictine,Orange Juice,Lemon Juice,,,,,1 quart black,1 quart,1 fifth,1 pint Jamaican,1/2 pint,1 1/2 oz,1 pint,1/2 pint,,,,,"Combine all the ingredients in a large punch bowl with a block of ice. If found too dry, sugar syrup may be added. Decorate with twists of lemon peel.","[""Tea"", ""Rye Whiskey"", ""Red Wine"", ""Rum"", ""Brandy"", ""Benedictine"", ""Orange Juice"", ""Lemon Juice""]"
111,Atlantic Sun,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg,Collins Glass,Vodka,Southern Comfort,Passion Fruit Syrup,Sweet And Sour,Club Soda,,,,,,,,2 cl Smirnoff,2 cl,2 cl,6 cl,1 dash,,,,,,,,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange.","[""Vodka"", ""Southern Comfort"", ""Passion Fruit Syrup"", ""Sweet And Sour"", ""Club Soda""]"
112,Atomic Lokade,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg,Collins Glass,Lemonade,Vodka,Blue Curacao,Triple Sec,Sugar,Ice,,,,,,,5 oz,1 oz,1/2 oz,1/2 oz,,,,,,,,,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste","[""Lemonade"", ""Vodka"", ""Blue Curacao"", ""Triple Sec"", ""Sugar"", ""Ice""]"
